ID,Title,Price,Currency,Available Quantity,Sold Quantity,Permalink,Brand ID,Brand Value,Units per Pack ID,Units per Pack Value,GTIN ID,GTIN Value,Seller ID,Seller Nickname,Installments Quantity,Installments Amount,Installments Rate,Installments Currency ID
MLB4135153664,Kit 2 Refil Compatível Soft Everest Star Slim Fit Plus Baby,66.22,BRL,1,,https://produto.mercadolivre.com.br/MLB-4135153664-kit-2-refil-compativel-soft-everest-star-slim-fit-plus-baby-_JM,BRAND,Hidrofiltros,UNITS_PER_PACK,2,GTIN,7900001082377,648151613,RARVEL STORE,12,6.44,16.64,BRL
MLB3506387745,Kit 3 Refil Água Purifika Compatível Purificador Everest ,103.92,BRL,1,,https://produto.mercadolivre.com.br/MLB-3506387745-kit-3-refil-agua-purifika-compativel-purificador-everest-_JM,BRAND,Policarbon Do Brasil,UNITS_PER_PACK,1,,,1134849492,SANCFILL,12,10.1,16.64,BRL
MLB3680410711,Refil Filtro Fine Flow Compatível Pappca40 Electrolux Pe11b Cor Ferrugem,48.67,BRL,1,,https://www.mercadolivre.com.br/refil-filtro-fine-flow-compativel-pappca40-electrolux-pe11b-cor-ferrugem/p/MLB35003726,BRAND,WFS,,,,,479634079,CARMONA MULTIMARCAS,3,16.22,0,BRL
MLB4460493330,Kit 2 Filtros Refil Hf Sft Compatível Purificador De Agua Soft By Everest,107,BRL,1,,https://www.mercadolivre.com.br/kit-2-filtros-refil-hf-sft-compativel-purificador-de-agua-soft-by-everest/p/MLB27079777,BRAND,Hidrofiltros,UNITS_PER_PACK,2,GTIN,"7894989100980,7896811128889",177954169,OLIMPPO,3,35.67,0,BRL
MLB3509233521,Filtro Refil Compatível Soft Everest Purificador 2em1 Vela,33.98,BRL,500,,https://www.mercadolivre.com.br/filtro-refil-compativel-soft-everest-purificador-2em1-vela/p/MLB28089255,BRAND,Policarbon,UNITS_PER_PACK,1,GTIN,7010639781181,363342951,24HORASFILTROS3,12,3.29,16.34,BRL
MLB4440928612,Refil Filtro Purificador De Água Compatível Everest,28.5,BRL,1,,https://www.mercadolivre.com.br/refil-filtro-purificador-de-agua-compativel-everest/p/MLB32625989,BRAND,Soft Everest,UNITS_PER_PACK,1,GTIN,"7896589735142,7896811128889",1415874774,MARQUEZVARIEDADES,12,2.76,16.34,BRL
MLB3545780913,Refil Para Soft Everest Polifil 500,53.82,BRL,1,,https://www.mercadolivre.com.br/refil-para-soft-everest-polifil-500/p/MLB27759537,BRAND,Ef- Elementos Filtrantes,,,GTIN,7898921362108,722321683,HDF SHOP,12,5.23,16.64,BRL
MLB3558962803,Refil Filtro Pró Life Compatível Soft Everest- Todos Modelos,34.62,BRL,500,,https://produto.mercadolivre.com.br/MLB-3558962803-refil-filtro-pro-life-compativel-soft-everest-todos-modelos-_JM,BRAND,Planeta Água,UNITS_PER_PACK,1,GTIN,7898614781995,609475751,PLANETA_DAGUA,3,11.54,0,BRL
MLB2029691722,Filtro Refil Compatível Soft Everest Purificador 2em1 Vela,32.38,BRL,50,,https://produto.mercadolivre.com.br/MLB-2029691722-filtro-refil-compativel-soft-everest-purificador-2em1-vela-_JM,BRAND,Policarbon,UNITS_PER_PACK,1,GTIN,"7010639781181,7898945781930",4606655,24HORASHOP,12,3.14,16.34,BRL
MLB3664350305,03 Filtro Refil Compatível Purificador De Água Soft Everest,105.5,BRL,1,,https://www.mercadolivre.com.br/03-filtro-refil-compativel-purificador-de-agua-soft-everest/p/MLB35974735,BRAND,Policarbon,,,GTIN,7903682527175,1415874774,MARQUEZVARIEDADES,12,10.25,16.64,BRL
MLB4191857524,Kit 2 Refil Água Purifika Compatível Purificador Everest ,62.91,BRL,1,,https://produto.mercadolivre.com.br/MLB-4191857524-kit-2-refil-agua-purifika-compativel-purificador-everest-_JM,BRAND,Policarbon Do Brasil,UNITS_PER_PACK,1,,,1134849492,SANCFILL,12,6.11,16.64,BRL
MLB3549989099,Refil Filtro Planeta Água Pro Life Compatível Soft Everest*,33.53,BRL,250,,https://produto.mercadolivre.com.br/MLB-3549989099-refil-filtro-planeta-agua-pro-life-compativel-soft-everest-_JM,BRAND,Planeta Água,UNITS_PER_PACK,1,GTIN,7898614781995,425843154,SHOP_DAS_BOMBAS,12,3.25,16.34,BRL
MLB3651238119,Refil Filtro De Água Purifika Compativel Soft Everest,33.25,BRL,5000,,https://www.mercadolivre.com.br/refil-filtro-de-agua-purifika-compativel-soft-everest/p/MLB28035906,BRAND,Policarbon,UNITS_PER_PACK,1,GTIN,7792245811505,45096508,PANCADÃO ELETRÔNICOS,12,3.22,16.34,BRL
MLB4650029602,Refil Purificador Pró Life Ph+ Cor Colorido,51.43,BRL,1,,https://www.mercadolivre.com.br/refil-purificador-pro-life-ph-cor-colorido/p/MLB29827230,BRAND,Planeta Água,,,GTIN,7903367277715,609475751,PLANETA_DAGUA,3,17.14,0,BRL
MLB4721750306,"Refil De Filtro Para Purificador De Água Everest Star, Slim, Fit, Plus,baby",130,BRL,1,,https://www.mercadolivre.com.br/refil-de-filtro-para-purificador-de-agua-everest-star-slim-fit-plusbaby/p/MLB35628011,BRAND,Everest,UNITS_PER_PACK,1,GTIN,7891233404191,289164255,AOLAR,12,12.64,16.64,BRL
MLB1922149962,Pre Filtro Purificador Soft Everest Original,41.1,BRL,1,,https://produto.mercadolivre.com.br/MLB-1922149962-pre-filtro-purificador-soft-everest-original-_JM,BRAND,Everest,UNITS_PER_PACK,1,GTIN,,38335512,URUFRIO,12,3.98,16.34,BRL
MLB3506399269,Kit 4 Refil Água Purifika Compatível Purificador Everest ,121.17,BRL,1,,https://produto.mercadolivre.com.br/MLB-3506399269-kit-4-refil-agua-purifika-compativel-purificador-everest-_JM,BRAND,Policarbon Do Brasil,UNITS_PER_PACK,1,,,1134849492,SANCFILL,12,11.78,16.64,BRL
MLB4190197148,Kit 4 Filtro Refil Compatível Soft Everest 2em1 Purificador,149.98,BRL,200,,https://www.mercadolivre.com.br/kit-4-filtro-refil-compativel-soft-everest-2em1-purificador/p/MLB28028012,BRAND,Policarbon,UNITS_PER_PACK,4,GTIN,7010639781419,4606655,24HORASHOP,12,14.58,16.64,BRL
MLB4049622446,Kit 4 Vela Filtro Purifika Compativel Com Soft Everest 2x1,125.9,BRL,1,,https://produto.mercadolivre.com.br/MLB-4049622446-kit-4-vela-filtro-purifika-compativel-com-soft-everest-2x1-_JM,BRAND,Policarbon,UNITS_PER_PACK,1,,,225275557,ZEGRANDEEPAGODEIRO,12,12.24,16.64,BRL
MLB3126101180, 2 Pré Filtro Refil Original Soft Everest Envio Imediato ,49.9,BRL,100,,https://produto.mercadolivre.com.br/MLB-3126101180-2-pre-filtro-refil-original-soft-everest-envio-imediato-_JM,BRAND,Soft Everest,,,GTIN,7898585363787,309206354,TOMUTILIDADESDOMESTICAS,3,16.63,0,BRL
MLB4359822826,Refil Filtro Wfs008 Compatível Soft Everest Pure Flow,46.5,BRL,1,,https://produto.mercadolivre.com.br/MLB-4359822826-refil-filtro-wfs008-compativel-soft-everest-pure-flow-_JM,BRAND,WFS,,,GTIN,,1415874774,MARQUEZVARIEDADES,12,4.51,16.34,BRL
MLB4198861888,Kit 3 Filtro Refil Compatível Soft Everest 2em1 Purificador,78.8,BRL,250,,https://www.mercadolivre.com.br/kit-3-filtro-refil-compativel-soft-everest-2em1-purificador/p/MLB28067804,BRAND,Policarbon,UNITS_PER_PACK,3,GTIN,7010639781402,1203073965,LOJA24HORASFILTROS5,12,7.66,16.64,BRL
MLB1149414307,Filtro De Água Para Refrigerador Side By Side Sh70x Original,143.3,BRL,500,,https://produto.mercadolivre.com.br/MLB-1149414307-filtro-de-agua-para-refrigerador-side-by-side-sh70x-original-_JM,BRAND,Electrolux,,,,,53567467,GOTAGUA,12,13.93,16.64,BRL
MLB4359725338,02 Refil Filtro Compatível Purificador De Água Soft Everest,49,BRL,1,,https://produto.mercadolivre.com.br/MLB-4359725338-02-refil-filtro-compativel-purificador-de-agua-soft-everest-_JM,BRAND,Soft Everest,,,GTIN,7897564296825,1415874774,MARQUEZVARIEDADES,12,4.75,16.34,BRL
MLB1677997549,Refil Filtro Vela Purificador Soft Everest 2 Em 1 Original,116.69,BRL,1,,https://produto.mercadolivre.com.br/MLB-1677997549-refil-filtro-vela-purificador-soft-everest-2-em-1-original-_JM,BRAND,Everest,UNITS_PER_PACK,1,GTIN,,363742706,ELETROSHOP.LOUVEIRA,12,11.34,16.64,BRL
MLB3551523773,Refil + Termostato Purificador/bebedouro Soft Todos,99,BRL,150,,https://produto.mercadolivre.com.br/MLB-3551523773-refil-termostato-purificadorbebedouro-soft-todos-_JM,BRAND,Purifika,,,,,750254510,REFRIGRD,3,33,0,BRL
MLB3592372963,Cartucho Recarregável 9 3/4 Completo Com Resina Mista Mb400 Cor Branco,40.87,BRL,500,,https://www.mercadolivre.com.br/cartucho-recarregavel-9-34-completo-com-resina-mista-mb400-cor-branco/p/MLB32363841,BRAND,Royal B & B,UNITS_PER_PACK,1,GTIN,7892447057807,568330522,ROYAL BEB,12,3.96,16.34,BRL
MLB3287573141,Refil Filtro Vela Purificador Soft Everest Original - 3 Unid,274.55,BRL,1,,https://produto.mercadolivre.com.br/MLB-3287573141-refil-filtro-vela-purificador-soft-everest-original-3-unid-_JM,BRAND,Soft Everest,,,GTIN,7893971900010,835817588,BUENO ALIMENTOS,12,26.62,16.34,BRL
MLB3154645250,Refil Filtro Vela Purificador Soft Everest Original - 2 Unid,199.8,BRL,1,,https://produto.mercadolivre.com.br/MLB-3154645250-refil-filtro-vela-purificador-soft-everest-original-2-unid-_JM,BRAND,Soft Everest Purificador Filtro Água,,,GTIN,7898086143062,835817588,BUENO ALIMENTOS,12,19.42,16.64,BRL
MLB3601929919,Refil Filtro Vela Purificador Soft Everest,109,BRL,1,,https://www.mercadolivre.com.br/refil-filtro-vela-purificador-soft-everest/p/MLB32809773,BRAND,Soft by Everest,UNITS_PER_PACK,1,GTIN,7798397492685,1377825966,VIPVIP20230518111622,3,36.33,0,BRL
MLB1015343120,Refil Soft Everest Original,144.99,BRL,1,,https://produto.mercadolivre.com.br/MLB-1015343120-refil-soft-everest-original-_JM,BRAND,Soft by Everest,UNITS_PER_PACK,1,,,129761896,MAGAZINE GAMA,4,36.25,0,BRL
MLB3264245228,Kit Mangueira E Refil Vela Soft By Everest 2 Em 1 Original ,114.9,BRL,50,,https://produto.mercadolivre.com.br/MLB-3264245228-kit-mangueira-e-refil-vela-soft-by-everest-2-em-1-original-_JM,BRAND,Soft,,,,,309206354,TOMUTILIDADESDOMESTICAS,3,38.3,0,BRL
MLB4312506290,Kit Filtro Refil Soft Everest Original + Mangueira 7 Metros,119.9,BRL,1,,https://produto.mercadolivre.com.br/MLB-4312506290-kit-filtro-refil-soft-everest-original-mangueira-7-metros-_JM,BRAND,Soft,,,,,326479469,TENERIFE EVT,3,39.97,0,BRL
MLB4353086188,Filtro Hf-sft Compatível Purificador Soft* Everest* ,159.9,BRL,150,,https://produto.mercadolivre.com.br/MLB-4353086188-filtro-hf-sft-compativel-purificador-soft-everest-_JM,BRAND,Hidrofiltros,UNITS_PER_PACK,1,GTIN,7896811128889,359331187,PURIFICAR COMÉRCIO,5,31.98,0,BRL
